0	20	254
0	22	917
10	1	497
10	22	44
11	29	104
1	16	756
11	7	998
12	1	265
12	26	370
1	22	712
13	16	755
13	2	986
14	1	840
14	6	240
15	28	246
15	4	694
16	15	921
16	23	986
17	22	477
17	9	312
18	19	786
18	4	1020
19	16	227
19	9	281
20	13	1001
20	26	255
21	15	823
21	23	280
2	14	73
22	15	536
2	22	269
22	8	57
23	15	67
23	8	119
24	23	229
24	29	306
25	1	554
25	27	578
26	16	64
26	4	807
27	22	268
27	7	842
28	1	498
28	6	535
29	23	163
29	7	181
3	21	376
3	6	686
4	1	47
4	6	799
5	2	1028
5	6	390
6	15	849
6	16	23
7	16	180
7	8	793
8	17	109
8	2	513
9	16	16
9	7	978
